"municipality_id","municipality_name","year","income_index","population_thousands","anime_stage","redevelopment"
"M01","自治体01",2005,95.894,87.46,1,0
"M01","自治体01",2006,94.246,87.74,1,0
"M01","自治体01",2007,97.449,88.47,1,0
"M01","自治体01",2008,99.936,87.86,1,0
"M01","自治体01",2009,101.927,86.81,1,0
"M01","自治体01",2010,105.294,90.35,1,0
"M01","自治体01",2011,114.897,89.74,1,1
"M01","自治体01",2012,114.922,91.44,1,1
"M01","自治体01",2013,116.712,92.47,1,1
"M01","自治体01",2014,119.413,92.77,1,1
"M01","自治体01",2015,122.551,93.05,1,1
"M02","自治体02",2005,88.973,101.04,1,0
"M02","自治体02",2006,90.486,100.36,1,0
"M02","自治体02",2007,92.859,100.58,1,0
"M02","自治体02",2008,94.685,100.98,1,0
"M02","自治体02",2009,94.537,100.62,1,0
"M02","自治体02",2010,100.886,103.65,1,0
"M02","自治体02",2011,108.699,103.39,1,1
"M02","自治体02",2012,108.916,103.72,1,1
"M02","自治体02",2013,111.823,105.25,1,1
"M02","自治体02",2014,113.441,106.62,1,1
"M02","自治体02",2015,113.908,105.68,1,1
"M03","自治体03",2005,85.502,84.54,1,0
"M03","自治体03",2006,88.546,84.36,1,0
"M03","自治体03",2007,91.098,85.39,1,0
"M03","自治体03",2008,91.407,84.48,1,0
"M03","自治体03",2009,94.24,85.68,1,0
"M03","自治体03",2010,96.641,84.01,1,0
"M03","自治体03",2011,106.661,87.95,1,1
"M03","自治体03",2012,107.334,88.27,1,1
"M03","自治体03",2013,108.105,88.74,1,1
"M03","自治体03",2014,110.672,87.08,1,1
"M03","自治体03",2015,112.473,87.19,1,1
"M04","自治体04",2005,93.44,81.1,1,0
"M04","自治体04",2006,95.157,82.02,1,0
"M04","自治体04",2007,96.492,81.86,1,0
"M04","自治体04",2008,99.053,83.4,1,0
"M04","自治体04",2009,100.188,82.7,1,0
"M04","自治体04",2010,103.818,83.79,1,0
"M04","自治体04",2011,110.199,85.49,1,1
"M04","自治体04",2012,112.66,85.78,1,1
"M04","自治体04",2013,114.787,85.19,1,1
"M04","自治体04",2014,117.788,85.64,1,1
"M04","自治体04",2015,119.759,85.72,1,1
"M05","自治体05",2005,85.717,74.14,1,0
"M05","自治体05",2006,89.046,74.42,1,0
"M05","自治体05",2007,88.473,73.54,1,0
"M05","自治体05",2008,93.604,74.39,1,0
"M05","自治体05",2009,93.126,74.58,1,0
"M05","自治体05",2010,98.205,74.91,1,0
"M05","自治体05",2011,103.968,76.24,1,0
"M05","自治体05",2012,105.188,76.84,1,0
"M05","自治体05",2013,109.159,77.59,1,0
"M05","自治体05",2014,108.617,77.94,1,0
"M05","自治体05",2015,112.754,78.8,1,0
"M06","自治体06",2005,97.969,94.17,1,0
"M06","自治体06",2006,97.751,96.29,1,0
"M06","自治体06",2007,100.343,96.17,1,0
"M06","自治体06",2008,102.173,96.58,1,0
"M06","自治体06",2009,104.251,97.09,1,0
"M06","自治体06",2010,109.178,97.13,1,0
"M06","自治体06",2011,110.054,99.17,1,0
"M06","自治体06",2012,115.903,99.62,1,0
"M06","自治体06",2013,118.557,100.17,1,0
"M06","自治体06",2014,122.53,100.47,1,0
"M06","自治体06",2015,121.678,100.42,1,0
"M07","自治体07",2005,91.63,97.5,1,0
"M07","自治体07",2006,93.94,95.78,1,0
"M07","自治体07",2007,96.131,97.75,1,0
"M07","自治体07",2008,96.583,96.72,1,0
"M07","自治体07",2009,97.868,97.06,1,0
"M07","自治体07",2010,105.63,98.36,1,0
"M07","自治体07",2011,109.213,98.78,1,0
"M07","自治体07",2012,109.521,100.6,1,0
"M07","自治体07",2013,115.372,100.17,1,0
"M07","自治体07",2014,116.425,102.07,1,0
"M07","自治体07",2015,116.584,100.91,1,0
"M08","自治体08",2005,90.969,109.62,1,0
"M08","自治体08",2006,93.825,110.2,1,0
"M08","自治体08",2007,96.176,111.71,1,0
"M08","自治体08",2008,97.716,111.49,1,0
"M08","自治体08",2009,101.62,112.04,1,0
"M08","自治体08",2010,105.497,113.08,1,0
"M08","自治体08",2011,110.668,113.57,1,0
"M08","自治体08",2012,111.283,115.31,1,0
"M08","自治体08",2013,113.16,114.53,1,0
"M08","自治体08",2014,116.357,114.87,1,0
"M08","自治体08",2015,116.091,115.92,1,0
"M09","自治体09",2005,92.884,105.59,1,0
"M09","自治体09",2006,94.717,103.94,1,0
"M09","自治体09",2007,97.481,106.33,1,0
"M09","自治体09",2008,100.193,104.83,1,0
"M09","自治体09",2009,102.781,106.08,1,0
"M09","自治体09",2010,106.902,107.34,1,0
"M09","自治体09",2011,111.573,108.26,1,0
