"market_id","market_name","period","period_index","year","quarter","teen_birth_rate","mtv_rating_pre","unemployment_rate"
"DMA001","メディア市場01","2007 Q1",1,2007,1,41.594,17.07,6.22
"DMA001","メディア市場01","2007 Q2",2,2007,2,41.189,17.07,6.83
"DMA001","メディア市場01","2007 Q3",3,2007,3,44.274,17.07,6.05
"DMA001","メディア市場01","2007 Q4",4,2007,4,40.564,17.07,6.22
"DMA001","メディア市場01","2008 Q1",5,2008,1,42.276,17.07,5.69
"DMA001","メディア市場01","2008 Q2",6,2008,2,42.038,17.07,6.25
"DMA001","メディア市場01","2008 Q3",7,2008,3,41.656,17.07,7.03
"DMA001","メディア市場01","2008 Q4",8,2008,4,42.011,17.07,6.78
"DMA001","メディア市場01","2009 Q1",9,2009,1,41.363,17.07,6.46
"DMA001","メディア市場01","2009 Q2",10,2009,2,40.728,17.07,6.86
"DMA001","メディア市場01","2009 Q3",11,2009,3,40.593,17.07,7.04
"DMA001","メディア市場01","2009 Q4",12,2009,4,39.19,17.07,6.49
"DMA001","メディア市場01","2010 Q1",13,2010,1,41.481,17.07,7.48
"DMA001","メディア市場01","2010 Q2",14,2010,2,39.706,17.07,6.07
"DMA001","メディア市場01","2010 Q3",15,2010,3,36.513,17.07,7.23
"DMA001","メディア市場01","2010 Q4",16,2010,4,38.951,17.07,6.58
"DMA001","メディア市場01","2011 Q1",17,2011,1,39.503,17.07,7.21
"DMA001","メディア市場01","2011 Q2",18,2011,2,38.82,17.07,6.55
"DMA001","メディア市場01","2011 Q3",19,2011,3,37.815,17.07,6.81
"DMA001","メディア市場01","2011 Q4",20,2011,4,37.745,17.07,7.2
"DMA002","メディア市場02","2007 Q1",1,2007,1,40.001,6.06,6.13
"DMA002","メディア市場02","2007 Q2",2,2007,2,38.674,6.06,5.61
"DMA002","メディア市場02","2007 Q3",3,2007,3,40.046,6.06,6.23
"DMA002","メディア市場02","2007 Q4",4,2007,4,39.856,6.06,6.09
"DMA002","メディア市場02","2008 Q1",5,2008,1,40.512,6.06,6.09
"DMA002","メディア市場02","2008 Q2",6,2008,2,38.552,6.06,6.12
"DMA002","メディア市場02","2008 Q3",7,2008,3,38.654,6.06,6.27
"DMA002","メディア市場02","2008 Q4",8,2008,4,39.46,6.06,6.32
"DMA002","メディア市場02","2009 Q1",9,2009,1,37.434,6.06,6.77
"DMA002","メディア市場02","2009 Q2",10,2009,2,37.907,6.06,6.11
"DMA002","メディア市場02","2009 Q3",11,2009,3,39.697,6.06,6.48
"DMA002","メディア市場02","2009 Q4",12,2009,4,38.475,6.06,6.77
"DMA002","メディア市場02","2010 Q1",13,2010,1,40.322,6.06,6.42
