"block_id","period","month_index","year","month","car_thefts","water_leak_reports","protected_facility","adjacent_block","distance_band","commercial_area"
"B001","1994-01",1,1994,1,3,0,1,0,"facility",1
"B001","1994-02",2,1994,2,1,1,1,0,"facility",1
"B001","1994-03",3,1994,3,1,0,1,0,"facility",1
"B001","1994-04",4,1994,4,2,0,1,0,"facility",1
"B001","1994-05",5,1994,5,1,1,1,0,"facility",1
"B001","1994-06",6,1994,6,4,3,1,0,"facility",1
"B001","1994-07",7,1994,7,3,3,1,0,"facility",1
"B001","1994-08",8,1994,8,1,1,1,0,"facility",1
"B001","1994-09",9,1994,9,0,2,1,0,"facility",1
"B001","1994-10",10,1994,10,1,0,1,0,"facility",1
"B001","1994-11",11,1994,11,0,1,1,0,"facility",1
"B001","1994-12",12,1994,12,5,1,1,0,"facility",1
"B001","1995-01",13,1995,1,1,1,1,0,"facility",1
"B001","1995-02",14,1995,2,3,3,1,0,"facility",1
"B001","1995-03",15,1995,3,2,3,1,0,"facility",1
"B001","1995-04",16,1995,4,1,0,1,0,"facility",1
"B001","1995-05",17,1995,5,1,0,1,0,"facility",1
"B001","1995-06",18,1995,6,3,0,1,0,"facility",1
"B002","1994-01",1,1994,1,1,1,1,0,"facility",1
"B002","1994-02",2,1994,2,5,1,1,0,"facility",1
"B002","1994-03",3,1994,3,2,1,1,0,"facility",1
"B002","1994-04",4,1994,4,4,3,1,0,"facility",1
"B002","1994-05",5,1994,5,10,2,1,0,"facility",1
"B002","1994-06",6,1994,6,3,3,1,0,"facility",1
"B002","1994-07",7,1994,7,2,1,1,0,"facility",1
"B002","1994-08",8,1994,8,4,3,1,0,"facility",1
"B002","1994-09",9,1994,9,1,2,1,0,"facility",1
"B002","1994-10",10,1994,10,1,2,1,0,"facility",1
"B002","1994-11",11,1994,11,1,3,1,0,"facility",1
"B002","1994-12",12,1994,12,1,2,1,0,"facility",1
"B002","1995-01",13,1995,1,4,1,1,0,"facility",1
"B002","1995-02",14,1995,2,2,2,1,0,"facility",1
"B002","1995-03",15,1995,3,4,2,1,0,"facility",1
"B002","1995-04",16,1995,4,1,1,1,0,"facility",1
"B002","1995-05",17,1995,5,5,1,1,0,"facility",1
"B002","1995-06",18,1995,6,6,2,1,0,"facility",1
"B003","1994-01",1,1994,1,1,1,1,0,"facility",1
"B003","1994-02",2,1994,2,3,0,1,0,"facility",1
"B003","1994-03",3,1994,3,5,2,1,0,"facility",1
"B003","1994-04",4,1994,4,3,0,1,0,"facility",1
"B003","1994-05",5,1994,5,6,2,1,0,"facility",1
"B003","1994-06",6,1994,6,2,0,1,0,"facility",1
"B003","1994-07",7,1994,7,4,4,1,0,"facility",1
"B003","1994-08",8,1994,8,2,0,1,0,"facility",1
"B003","1994-09",9,1994,9,2,1,1,0,"facility",1
"B003","1994-10",10,1994,10,1,1,1,0,"facility",1
"B003","1994-11",11,1994,11,1,1,1,0,"facility",1
"B003","1994-12",12,1994,12,1,2,1,0,"facility",1
"B003","1995-01",13,1995,1,2,2,1,0,"facility",1
"B003","1995-02",14,1995,2,0,0,1,0,"facility",1
"B003","1995-03",15,1995,3,3,1,1,0,"facility",1
"B003","1995-04",16,1995,4,0,1,1,0,"facility",1
"B003","1995-05",17,1995,5,1,1,1,0,"facility",1
"B003","1995-06",18,1995,6,1,1,1,0,"facility",1
"B004","1994-01",1,1994,1,4,1,1,0,"facility",1
"B004","1994-02",2,1994,2,7,4,1,0,"facility",1
"B004","1994-03",3,1994,3,3,5,1,0,"facility",1
"B004","1994-04",4,1994,4,5,1,1,0,"facility",1
